Riding winner loser Con Lib AntiCon Unknown
Addington Lapum,James-N. Shibley,Schuyler 1120 0 0 2
Albert WALLACE,John STEVENS,Henry 0 778 0 714
Algoma SIMPSON,Wemyss-Mackenzie BEATTY, 250 0 0 241
Annapolis RAY,William-Hallett LONGLEY,Avard 1016 0 1171 0
Antigonish MCDONALD,Hugh HENRY,Wm.-A. 390 0 1238 0
Argenteuil ABBOTT,John-Joseph-Caldwell HUTCHINS,B. 693 0 0 595
Bagot GENDRON,Pierre-Samuel LAFRAMBOISE,Hon.-Maurice 1156 0 0 889
Beauce POZER,Christian-Henry Taschereau 0 1180 0 629
Beauharnois CAYLEY,Michael Denis, 724 0 0 691
Bellechasse CASAULT,Napoléon Remillard, 983 0 0 671
Berthier Pâquet,Anselme-Homère Tranchemontagne,L 0 1131 0 1095
Bonaventure ROBITAILLE,Théodore Tremblay, 1018 0 0 444
Bothwell GLASS,David MILLS,David 1224 1333 0 0
Brant-North BOWN,John-Young Clement, 672 0 0 670
Brant-South WOOD,Edmund-Burke LEEMING, 0 1257 0 1090
Brockville CRAWFORD,James CHAMBERS, 690 0 0 521
Brome DUNKIN,Christopher None 1 0 0 0
Bruce-North SPROAT,Alexander DOUGLAS, 862 0 0 852
Bruce-South HURDON,Francis RASTALL, 1777 0 0 1624
Cape-Breton MCKEAGNEY,James None 0 0 1 0
Cardwell FERGUSON,Thomas-Roberts PHILIPS, 1155 0 0 1078
Carleton CONNELL,Charles None 0 1 0 0
Carleton HOLMES,John ROCHESTER,John 1087 0 0 1006
Chambly BENOIT,Pierre-Basile DORION,V.P.W. 691 0 0 526
Champlain ROSS,John-Jones MARTINEAU, 1449 0 0 305
Charlevoix CIMON,Simon-Xavier GAGNON, 999 0 0 911
Charlotte BOLTON,John THOMPSON,Robert 0 1214 0 918
Chicoutimi--Saguenay TREMBLAY,Pierre-Alexis None 0 1 0 0
Châteauguay HOLTON,Luther-Hamilton RAMSAY, 0 1013 0 586
St-John-(City-and-County-of) GRAY,John-Hamilton None 1 0 0 0
St.-John-(City-of) TILLEY,Samuel-Leonard WILSON,John 1402 0 0 610
Colchester MCLELAN,Archibald-Woodbury ARCHIBALD,Adams-George 1289 0 1649 0
Compton POPE,John-Henry None 1 0 0 0
Cornwall MACDONALD,John-Sandfield MATTICE, 0 451 0 295
Cumberland TUPPER,Charles ANNAND,William 1368 0 1271 0
Deux-Montagnes DAOUST,Jean-Baptiste None 1 0 0 0
Digby SAVARY,Alfred-William WADE, 0 0 792 497
Dorchester LANGEVIN,Hector-Louis None 1 0 0 0
Drummond--Arthabaska SÉNÉCAL,Louis-Adélard HOULE 1135 0 0 1111
Dundas ROSS,John-Sylvester None 1 0 0 0
Durham-East BURTON,Francis-H. BEAMISH, 1134 0 0 451
Durham-West BLAKE,Edward-Dominick MILNE, 0 1337 0 931
Elgin-East DOBBIE,Thomas-William BURWELL, 1492 0 0 1382
Elgin-West MUNROE,John-H. MCDOUGALL, 970 0 0 766
Essex O'CONNOR,John RANKIN,A. 1439 0 0 1432
Frontenac KIRKPATRICK,Thomas CARRUTHERS, 1242 0 0 693
Gaspé FORTIN,Pierre None 1 0 0 0
Glengarry MACDONALD,Donald-Alexander None 0 1 0 0
Gloucester ANGLIN,Timothy-Warren MEHAN,John 0 1061 0 671
Grenville-South SHANLY,Walter PATRICK, 899 0 0 730
Grey-North SNIDER,George BOLTON, 0 1399 0 1143
Grey-South JACKSON,George DALGLEISH, 1560 0 0 1547
Guysborough CAMPBELL,Stewart None 0 0 1 0
Haldimand Thompson,David MCKINNON, 0 1391 0 1022
