Riding winner loser Con Lib Independent Unknown
Addington SHIBLEY,Schuyler LAPUM,James-N. 1495 0 0 849
Albert WALLACE,John CALHOUN, 0 847 0 748
Algoma ROBINSON,John-Beverley DENISON,G.J.-Junr. 300 0 0 219
Annapolis RAY,William-Hallett LONGLEY,Avard 1019 1129 0 0
Antigonish MCDONALD,Hugh None 1 0 0 0
Argenteuil ABBOTT,John-Joseph-Caldwell None 1 0 0 0
Bagot GENDRON,Pierre-Samuel FORSYTH, 1184 0 0 0
Beauce POZER,Christian-Henry BLANCHET,Jean 1885 0 0 772
Beauharnois ROBILLARD,Ulysse-Janvier CAYLEY,Michael 764 0 854 0
Bellechasse FOURNIER,Télesphore CARON,A. 638 1219 0 0
Berthier PAQUET,Anselme-Homère CUTHBERT,Edward-Octavian 15 757 0 0
Bonaventure ROBITAILLE,Théodore HAMILTON,J.R. 999 0 0 232
Bothwell MILLS,David ATKINSON,C.R. 0 1727 0 1135
Brant-North FLEMING,Gavin BAIRD,H.A. 0 882 0 571
Brant-South PATERSON,William HINCKS,Francis 1116 1378 0 0
Brockville BUELL,Jacob-Dockstader ABBOTT,H. 0 804 0 793
Brome CARTER,Edward PERKINS,J.A. 1037 0 0 602
Bruce-North GILLIES,John SPROAT,Alexander 951 974 0 0
Bruce-South BLAKE,Edward-Dominick HURDON,Francis 190 1878 0 0
Cape-Breton MACKAY,Newton-LeGayet--and--MCDONALD,William MCLEOD,Hugh 1240 0 0 1038
Cardwell CAMERON,John-Hillyard BOULTON, 1232 0 0 1016
Cariboo THOMPSON,Joshua-Spencer None 1 0 0 0
Carleton CONNELL,Charles None 0 1 0 0
Carleton ROCHESTER,John HOLMES,John 1024 0 0 901
Chambly BENOIT,Pierre-Basile DEGROSBOIS,F.P. 789 0 0 631
Champlain ROSS,John-Jones TRUDEL,P.O. 1369 0 0 1207
Charlevoix TREMBLAY,Pierre-Alexis CIMON,Simon-Xavier 779 1485 0 0
Charlotte MCADAM,John GILLMOR,Arthur-Hill 1551 1329 0 0
Chicoutimi--Saguenay PRICE,William-Evan GAGNÉ,Jean-Alfred 955 0 0 887
Châteauguay HOLTON,Luther-Hamilton STUART,R. 0 907 0 669
St.John-(City-and-County-of) BURPEE,Isaac--and--PALMER,Acalus-Lockwood ELDER,Wm. 0 3249 1771 2204
St.John-(City-of) TILLEY,Samuel-Leonard DE-VEBER,Jeremiah-Smith-Boies 1765 0 0 1225
Colchester PEARSON,Frederick-M. BLANCHARD,J.F. 1634 0 0 1209
Compton POPE,John-Henry None 1 0 0 0
Cornwall BERGIN,Darby None 1 0 0 0
Cumberland TUPPER,Charles MORSE,W.A.D. 1911 0 0 650
