Riding winner loser Conservative Liberal Independent Patrons-of-Industry McCarthyites Unknown
Addington Bell,John-William Dawson,George-Walker-Wesley 2587 2500 0 0 0 0
Albert Lewis,William-James Weldon,Richard-Chapman 927 0 1170 0 0 0
Alberta-(Provisional-District) Oliver,Frank Miller,Frank-Robert 2863 3647 71 0 0 0
Algoma Dyment,Albert-Edward Macdonell,George-Hugh 1349 3176 0 0 0 0
Annapolis Mills,John-Burpee LONGLEY,J.W. 2012 1815 0 0 0 0
Antigonish McIsaac,Colin-Francis CHISHOLM,J.A. 1224 1341 0 0 0 0
Argenteuil Christie,Thomas ABBOTT,Harry 1050 1125 0 0 0 0
Assiniboia-East Douglas,James-Moffat McDonald,William-Walter 2502 3556 0 0 0 0
Assiniboia-West Davin,Nicholas-Flood MCINNIS,John-K. 1502 0 1502 0 0 0
Bagot Dupont,Flavien None 1 0 0 0 0 0
Beauce Godbout,Joseph CLOUTIER,G. 2576 3003 0 0 0 0
Beauharnois Bergeron,Joseph-Gédéon-Horace Tarte,Joseph-Israël 1582 1534 0 0 0 0
Bellechasse Talbot,Onésiphore-Ernest ROY,Joseph-Edmond 1227 1537 0 0 0 0
Berthier Beausoleil,Cléophas None 0 1 0 0 0 0
Bonaventure Fauvel,William-LeBoutillier ROY,Geo.-P. 1331 1644 0 0 0 0
Bothwell Clancy,James Mills,David 2587 2528 0 0 0 0
Brandon McCarthy,D'Alton MCDONALD,W.A. 2738 0 0 1102 3073 0
Brant-South Henry,Robert Paterson,William 2538 2447 0 0 0 0
Brockville Wood,John-Fisher CUMMING,James 1781 1549 0 0 148 0
Brome Fisher,Sydney-Arthur Foster,George-Green 1344 1677 0 0 0 0
Bruce-East Cargill,Henry TOLTON,James 2048 0 0 1881 0 0
Bruce-North McNeill,Alexander BONNAR,Hector-A. 1702 1671 0 0 0 991
Bruce-West Tolmie,John McKenzie,Peter-H. 0 2110 0 0 0 1622
Burrard Maxwell,George-Ritchie Cowan,George-Henry 1214 1512 0 0 0 410
Cape-Breton Tupper,Charles--and--McDougall,Hector-Francis Kendall,Arthur-Samuel 3630 2813 0 0 0 2328
Cardwell Stubbs,William WALSH,W.L. 1441 0 1825 0 0 0
Carleton Hale,Frederick-Harding Colter,Newton-Ramsay 2667 2261 0 0 0 0
Carleton Hodgins,William-Thomas MCKELLAR,John 1337 1128 299 0 50 0
Chambly--Verchères Geoffrion,Christophe-Alphonse TAILLON,Louis-Olivier 2117 2511 0 0 0 0
Champlain Marcotte,François-Arthur TRUDEL,P. 2411 2035 0 0 0 0
Charlevoix Angers,Louis-Charles-Alphonse Cimon,Simon 1273 1403 0 0 0 0
Charlotte Ganong,Gilbert-White Gillmor,Arthur-Hill 2453 1981 0 0 0 0
Chicoutimi--Saguenay Savard,Paul-Vilmond Belley,Louis-de-Gonzague 1973 3059 0 0 0 0
Châteauguay Brown,James-Pollock LECAVALIER,C. 894 1594 0 0 0 0
St.-John-(City-and-County-of) Tucker,Joseph-John Hazen,John-Douglas 3733 3924 1495 0 0 0
St.-John-(City-of-) Ellis,John-Valentine Chesley,John--Alexander 2527 3249 1427 0 0 0
Colchester Dimock,Wilbert-David McClure,Firman 2483 2306 0 0 0 0
Compton Pope,Rufus-Henry WELLARD,Francis-F. 1948 0 0 1485 0 0
Cornwall-and-Stormont Bergin,Darby ADAMS,John-G. 1838 1456 0 1513 0 0
Cumberland Logan,Hance-James Dickey,Arthur-Rupert 3307 3462 0 0 0 0
Deux-Montagnes Éthier,Joseph-Arthur-Calixte Girouard,Joseph 1210 1227 0 0 0 0
Digby Copp,Albert-James-Smith JONES,J.-Edgar 1591 1636 0 0 0 0
Dorchester Morin,Jean-Baptiste Vaillancourt,Cyrille-Émile 1480 0 0 0 0 0
Drummond--Arthabaska Lavergne,Joseph DÉSY,E. 2255 3561 0 0 0 0
Dundas Broder,Andrew JOHNSTON,Adam 1932 1870 0 0 494 0
Durham-East Craig,Thomas-Dixon MCCLEAN,Milliam 1767 0 0 1598 0 0
Durham-West Beith,Robert WALSH,D.F. 1406 1458 0 428 0 0
East-Prince Yeo,John HUNT,Richard-A. 1799 1916 0 0 0 0
East-Queen's Martin,Alexander Welsh,William 2175 1821 0 0 0 0
Elgin-East Ingram,Andrew-B. Wilson,John-Henry 2862 2684 0 492 0 0
Elgin-West Casey,George-Elliott MCKILLOP,Alexander-A. 0 2585 0 1859 0 0
Essex-North McGregor,William ODETTE,Daniel-Bpte. 2038 2511 70 605 0 0
Essex-South Cowan,Mahlon-K. KING,S.A. 2244 2426 0 0 0 0
Frontenac Rogers,David-Dickson None 0 0 0 1 0 0
Gaspé Lemieux,Rodolphe ENNIS,Thos. 1616 1658 0 0 0 0
Glengarry McLennan,Roderick-R. WILSON,James-Lockie 2486 0 0 1752 0 0
Gloucester Blanchard,Théotime Turgeon,Onésiphore 1947 1140 736 0 0 0
Grenville-South Reid,John-Dowsley Rowe,Russell-D. 1397 1290 0 0 0 0
Grey-East Sproule,Thomas-Simpson BOWES,James 2560 0 0 2039 0 0
Grey-North Clark,John MCLAUGHLIN,James 2527 2559 0 0 0 0
Grey-South Landerkin,George JAMESON,David 1753 1819 0 1196 0 0
Guysborough Fraser,Duncan-Cameron GREGORY,Ernest 1455 1533 0 0 0 0
Haldimand-and-Monck Montague,Walter-Humphries DAVIS,A.A. 2197 1484 0 728 0 0
Halifax Borden,Robert-Laird--and--Russell,Benjamin Kenny,Thomas-Edward 6170 5997 0 0 0 5616
Halton Henderson,David Waldie,John 2460 2376 0 0 0 0
Hamilton Wood,Andrew-Trew--and--MacPherson,Thomas-Henry BOVILLE,R.G. 3773 3837 928 0 0 806
Hants Haley,Allen Putnam,Alfred 1803 1838 0 0 0 0
Hastings-East Hurley,Jeremiah-M. Northrup,William-Barton 1285 1508 0 908 0 0
Hastings-North Carscallen,Alexander-Augustus-Williamson HARRYETT,Samuel 2478 0 0 1735 0 0
Hastings-West Corby,Henry RITCHIE,Thomas 1836 1591 0 0 0 0
Hochelaga Madore,Joseph-Alexandre-Camille Lachapelle,Sévérin 3129 3635 0 0 0 0
Huntingdon Scriver,Julius WHITE,Wm.-J. 827 1546 0 0 0 0
Huron-East Macdonald,Peter DICKINSON,E.L. 1920 2079 0 0 0 0
Huron-South McMillan,John HAYS,T.E. 1526 1831 0 0 0 0
