Riding winner loser Conservative Liberal Independent Unknown
Addington Bell,John-William MARTIN,Wm.-A. 2442 1913 0 0
Albert Lewis,William-James Weldon,Richard-Chapman 1160 1276 0 0
Alberta-(Provisional-District) Oliver,Frank Bennett,Richard-Bedford 4029 5203 0 0
Algoma Dyment,Albert-Edward Boyce,Arthur-Cyril 2724 3083 0 0
Annapolis Wade,Fletcher-Bath Mills,John-Burpee 1733 1883 0 0
Antigonish McIsaac,Colin-Francis Girroir,Edward-Lavin 1137 1403 0 0
Argenteuil Christie,Thomas SIMPSON,William-John 910 1239 0 0
Assiniboia-East Douglas,James-Moffat Lake,Richard-Stuart 3822 4081 0 0
Assiniboia-West Scott,Thomas-Walter Davin,Nicholas-Flood 1861 2093 0 0
Bagot Marcile,Joseph-Edmond TAILLON,Louis-Olivier 1449 1605 0 0
Beauce Godbout,Joseph BOLDUC,Charles 2175 3432 0 0
Beauharnois Loy,George-di-Madeiros Bergeron,Joseph-Gédéon-Horace 1739 2016 0 0
Bellechasse Talbot,Onésiphore-Ernest GELLEY,Joseph-Emile 1231 1701 0 0
Berthier Archambault,Joseph-Éloi LAMARCHE,F.O. 1235 1529 0 0
Bonaventure Marcil,Charles BELANGER,Jean-Bte 1418 1567 0 0
Bothwell Clancy,James Gordon,David-Alexander 2547 2430 0 0
Brandon Sifton,Clifford Macdonald,Hugh-John 4342 5011 0 0
Brant-South Heyd,Charles-Bernhard Henry,Robert 2288 2494 0 0
Brockville Culbert,John Derbyshire,Daniel 1886 1665 0 0
Brome Fisher,Sydney-Arthur ENGLAND,Frederick 1249 1805 0 0
Bruce-East Cargill,Henry COUMANS,John 1806 1763 0 0
Bruce-North McNeill,Alexander CAMPBELL,J.E. 2065 2064 0 0
Bruce-West Tolmie,John GEORGE,John 1513 2147 0 0
Burrard Maxwell,George-Ritchie GARDEN,James-F. 2089 2716 0 0
Cape-Breton Johnston,Alexander--and--Kendall,Arthur-Samuel Tupper,Charles 3672 3922 0 3604
Cardwell Johnston,Robert Stubbs,William 1484 0 0 1293
Carleton Hale,Frederick-Harding Carvell,Frank-Broadstreet 2714 2459 0 0
Carleton Kidd,Edward MCKELLAR,John 1611 884 0 0
Chambly--Verchères Geoffrion,Victor PARIZEAU,Damase 1941 2373 0 0
Champlain Rousseau,Jeffrey-Alexandre Marcotte,François-Arthur 2572 2903 0 0
Charlevoix Angers,Louis-Charles-Alphonse Cimon,Simon 1342 1517 0 0
Charlotte Ganong,Gilbert-White ARMSTRONG,Robert-Edwin 2785 2205 0 0
Chicoutimi--Saguenay Girard,Joseph Savard,Paul-Vilmond 3130 2852 0 0
Châteauguay Brown,James-Pollock GREIG,William 872 1301 0 0
St.-John-(City-and-County-of) Tucker,Joseph-John Stockton,Alfred-Augustus 4673 5449 0 0
St.-John-(City-of-) Blair,Andrew-George Foster,George-Eulas 3523 4520 0 0
Colchester Gourley,Seymour-Eugene McClure,Firman 2449 2170 0 0
Compton Pope,Rufus-Henry CLEVELAND,Geo.-B. 2438 2190 0 0
Cornwall-and-Stormont Pringle,Robert-Abercrombie MULHERN,Ambrose-F. 2562 2411 0 0
Cumberland Logan,Hance-James Cahan,Charles-Hazlitt 3345 3742 0 0
Deux-Montagnes Éthier,Joseph-Arthur-Calixte Girouard,Joseph 1323 1455 0 0
Digby Copp,Albert-James-Smith JONES,J.-Edgar 1418 1923 0 0
Dorchester Morin,Jean-Baptiste OUELLET,J.S. 1691 1322 90 27
Drummond--Arthabaska Lavergne,Louis None 0 1 0 0
Dundas Broder,Andrew JOHNSTON,Adam 2376 2118 0 0
Durham-East Ward,Henry-Alfred POWERS,Dr.-L.B. 1661 1450 0 0
Durham-West Thornton,Charles-Jonas Beith,Robert 1637 1597 0 0
East-Prince Lefurgey,Alfred-Alexander Bell,John-Howatt 2272 2047 0 0
East-Queen's Mackinnon,Donald-Alexander Martin,Alexander 2250 2257 0 0
Elgin-East Ingram,Andrew-B. Wilson,John-Henry 3076 2925 0 0
Elgin-West Robinson,Jabel MCGUGAN,Angus-Donald 0 1765 1805 1180
