Riding winner loser Conservative Liberal Independent Labour Socialist Unknown
Algoma-East Smyth,William-Ross Dyment,Albert-Edward 2849 2808 0 0 0 0
Algoma-West Boyce,Arthur-Cyril GIBSON,Robert-James 2079 1870 0 0 0 0
Annapolis Pickup,Samuel-Walter-Willet CORBITT,George-E. 1910 2121 0 0 0 0
Antigonish Chisholm,William Girroir,Edward-Lavin 1271 1291 0 0 0 0
Argenteuil Perley,George-Halsey McGibbon,Peter-Robert 1587 1328 0 0 0 0
Assiniboia Turriff,John-Gillanders Richardson,Robert-Lorne 0 4048 3542 0 0 0
Bagot Marcile,Joseph-Edmond SYLVESTRE,Victor 1551 1884 0 0 0 0
Battleford Champagne,Albert MORRISON,Thomas-Andrew 2268 3462 0 0 0 0
Beauce Béland,Henri-Sévérin POIRIER,Alphonse 183 4082 0 0 0 0
Beauharnois Papineau,Louis-Joseph Bergeron,Joseph-Gédéon-Horace 1814 1843 0 0 0 0
Bellechasse Talbot,Onésiphore-Ernest VEZINA,Charles 627 1988 0 0 0 0
Berthier Ecrément,Arthur ALLARD,Victor 1622 1887 0 0 0 0
Bonaventure Marcil,Charles Beauchesne,Arthur 1146 2408 0 0 0 0
Brandon Sifton,Clifford Daly,Thomas-Mayne 3498 3567 100 0 0 0
Brant Paterson,William NOONAN,John-Patrick 1554 1799 0 0 0 0
Brantford Harris,Lloyd Cockshutt,William-Foster 2627 2832 0 0 0 0
Brockville Graham,George-Perry Webster,John 2000 2144 0 0 0 0
Brome Fisher,Sydney-Arthur OLMSTEAD,Frederick-Albyn 1233 1674 37 0 0 0
Bruce-North Tolmie,John MCNEIL,Alexander 2435 2774 0 0 0 0
Bruce-South Donnelly,James-J. McKenzie,Peter-H. 3005 2812 0 0 0 0
Calgary McCarthy,Maitland-Stewart STEWART,Charles-John 4105 3418 0 0 743 0
Cape-Breton-South Maddin,James-William Johnston,Alexander 5048 4823 0 0 0 0
Carleton Carvell,Frank-Broadstreet Smith,Benjamin-Franklin 2484 2635 0 0 0 0
Carleton Borden,Robert-Laird CALDWELL,James-Ernest 2667 1297 0 0 0 0
Chambly--Verchères Geoffrion,Victor ARCHAMBAULT,Antoine-Magloire 1657 2481 0 0 0 0
Champlain Blondin,Pierre-Édouard DEGUISE,Ernest 3310 3217 0 0 0 0
Charlevoix Forget,Joseph-David-Rodolphe POULIOT,Joseph-Camille 1934 1725 0 0 0 0
Charlotte Todd,William-Frederick Ganong,Gilbert-White 2491 2691 0 0 0 0
Chicoutimi--Saguenay Girard,Joseph ROUTHIER,Joseph 4618 0 0 0 0 4349
Châteauguay Brown,James-Pollock LANE,Campbell 1092 1397 0 0 0 0
St.-John-(City-and-County-of) Pugsley,William MACRAE,Alexander-William 5086 5582 0 0 0 0
St.-John-(City-of-) Daniel,John-Waterhouse PENDER,James 4394 4202 0 0 0 0
Colchester Stanfield,John HILL,Charles 2736 2621 0 0 0 0
Comox--Atlin Sloan,William None 0 1 0 0 0 0
Compton Hunt,Aylmer-Byron Pope,Rufus-Henry 2781 3175 0 0 0 0
Cumberland Rhodes,Edgar-Nelson Ralston,James-Layton 4800 4310 0 0 0 0
Dauphin Campbell,Glenlyon Burrows,Theodore-Arthur 3206 2989 0 0 0 0
Deux-Montagnes Éthier,Joseph-Arthur-Calixte Fauteux,Guillaume-André 1335 1427 0 0 0 0
Digby Jameson,Clarence Copp,Albert-James-Smith 1771 1640 0 0 0 0
Dorchester Roy,Joseph-Alfred-Ernest FLYNN,Edmund-James 1921 2084 0 0 0 0
Drummond--Arthabaska Lavergne,Louis POULIN-DE-COURVAL,Luc-Louis-Philippe 0 3754 2920 0 0 0
Dufferin Barr,John FISH,Jasper-Noble 2240 797 0 0 0 0
Dundas Broder,Andrew LAWSON,Wesley-Byron 2308 1848 0 0 0 0
Durham Thornton,Charles-Jonas SIMPSON,David-Burke 3387 2764 0 0 0 0
Edmonton Oliver,Frank Hyndman,James-Duncan 2895 5212 0 0 0 0
Elgin-East Marshall,David RUTHERFORD,Walter-W. 2263 2016 0 0 0 0
Elgin-West Crothers,Thomas-Wilson TOLMIE,William 3259 2741 0 0 0 0
Essex-North Sutherland,Robert-Franklin FLEMING,Oscar-Ernest 2726 3277 0 0 0 0
Essex-South Clarke,Alfred-Henry WIGLE,Darius 2611 3334 0 0 0 0
Frontenac Edwards,John-Wesley Avery,Melzar 2184 0 0 0 0 1772
Gaspé Lemieux,Rodolphe FLYNN,William-Albert-Edward 571 2063 0 0 0 0
Glengarry McMillan,John-Angus MCGREGOR,John-F. 1958 2279 0 0 0 0
Gloucester Turgeon,Onésiphore BURNS,Theobald-M. 2094 2581 0 0 0 0
Grenville Reid,John-Dowsley MARTIN,Samuel-John 2380 1745 0 0 0 0
Grey-East Sproule,Thomas-Simpson RAYMOND,Elzear 2396 1260 0 0 0 0
Grey-North Middlebro,William-Sora Telford,William-Pattison 2923 2777 0 0 0 0
Grey-South Miller,Henry-Horton Ball,Robert-James 2180 2267 0 0 0 0
Guysborough Sinclair,John-Howard ROWLINGS,George-A.R. 1796 2001 0 0 0 0
Haldimand Lalor,Francis-Ramsey MILLER,Robert-Francis 2644 2398 0 0 0 0
Halifax Borden,Robert-Laird--and--Crosby,Adam-Brown Roche,William 7386 6635 0 0 0 6423
Halton Henderson,David HARRISON,William-Spencer 2417 2205 0 0 0 0
Hamilton-East Barker,Samuel EASTWOOD,John-Morrison 2968 1876 0 1320 0 0
Hamilton-West Stewart,Thomas-Joseph Zimmerman,Adam 3363 2969 0 0 0 0
Hants Black,Judson-Burpee HANRIGHT,Frederick-W. 2008 2141 0 0 0 0
Hastings-East Northrup,William-Barton MCCARGAR,John-K. 2864 1519 0 0 0 0
Hastings-West Porter,Edward-Guss FUNNELL,Jesse 3360 2199 0 0 0 0
Hochelaga Rivet,Louis-Alfred-Adhémar Coderre,Louis 4471 4656 0 0 0 0
Humboldt Neely,David-Bradley LITTLE,James 2145 3524 0 0 0 0
Huntingdon Robb,James-Alexander Walsh,Robert-Nelson 1212 1292 0 0 0 0
Huron-East Chisholm,Thomas HISLOP,Archibald 2177 2094 0 0 0 0
Huron-South McLean,Murdo-Young Sherritt,John 2432 2586 0 0 0 0
Huron-West Lewis,Edward-Norman Holmes,Robert 2137 2075 0 0 0 0
Inverness Chisholm,Alexander-William MCLEOD,Roderick-C. 1837 3381 0 0 0 0
Jacques-Cartier Monk,Frederick-Debartzch DANDURAND,Ucal-Henri 4143 3170 0 0 0 0
Joliette Dubeau,Joseph-Adélard GUILBAULT,Joseph-Alexandre 1856 2178 0 0 0 0
Kamouraska Lapointe,Ernest POTVIN,Wilfrid-Adélard 1546 1860 0 0 0 0
Kent LeBlanc,Olivier-J. Robidoux,Ferdinand-Joseph 1860 2580 0 0 0 0
Kent-East Gordon,David-Alexander STEWART,Samuel 2403 2895 0 0 0 0
Kent-West McCoig,Archibald-Blake Clements,Herbert-Sylvester 3700 3782 0 0 0 0
Kings Borden,Frederick-William EATON,Nathan-Woodworth 1991 2482 0 0 0 0
King's Fraser,Austin-Levi Hughes,James-Joseph 2672 2490 0 0 0 0
King's-and-Albert McAlister,Duncan-Hamilton Fowler,George-William 3219 3573 0 0 0 0
Kingston Harty,William Ross,Arthur-Edward 1875 2224 0 0 0 0
Kootenay Goodeve,Arthur-Samuel CURTIS,Smith 3109 2173 0 0 1337 0
L'Assomption Séguin,Paul-Arthur FORTIER,Joseph-Misael 942 1524 0 0 0 0
L'Islet Paquet,Eugène Caron,Jean-Baptiste-Thomas 1349 1184 0 0 0 0
Labelle Major,Charles-Beautron CHAUVIN,Hector 1624 2951 0 0 0 0
Lambton-East Armstrong,Joseph-Elijah FAIRBANK,Charles-Oliver 2921 2461 0 0 0 0
Lambton-West Pardee,Frederick-Forsyth LESUEUR,Richard-Esnouf 3059 3205 0 0 0 0
Lanark-North Thoburn,William Caldwell,Thomas-Boyd 1637 1631 0 0 0 0
Lanark-South Haggart,John-Graham MCKIMM,George-Fred 2108 1349 0 0 0 0
Laprairie--Napierville Lanctôt,Roch BEAUDIN,Siméon 1539 1923 0 0 0 0
Laval Wilson,Charles-Avila Léonard,Joseph-Édouard-Émile 2125 2194 0 0 0 0
Leeds Taylor,George FREDENBURGH,William-Cushing 2356 1432 0 0 0 0
Lennox-and-Addington Wilson,Uriah WARTMAN,Franklin-Secord 2452 2298 0 0 0 0
Lincoln Lancaster,Edward-Arthur WOODRUFF,Welland-Devaux 3853 3604 0 0 0 0
Lisgar Sharpe,William-Henry GREENWAY,John-Franklin 1765 1660 0 0 0 0
London Beattie,Thomas MCCANDLESS,John-Wiley 4121 0 0 0 0 2987
Lotbinière Fortier,Edmond Pelletier,Louis-Philippe 1459 2304 0 0 0 0
Lunenburg Maclean,Alexander-Kenneth MARSHALL,Carmon-Smith 3332 3533 0 0 0 0
Lévis Carrier,Louis-Auguste Bourassa,Joseph-Boutin 0 2841 0 0 0 1691
Macdonald Staples,William-D. THOMPSON,Samuel-Jacob 2990 2414 0 0 0 0
Mackenzie Cash,Edward-L. BUCHANAN,Robert 1217 2328 0 0 0 0
Macleod Herron,John MACDONALD,Allan-Ban 2935 2642 662 0 0 0
