Riding winner loser Conservative Liberal Independent Labour Socialist Nationalist Unknown
Algoma-East Smyth,William-Ross REGAN,John-Lionel 3898 3716 0 0 0 0 0
Algoma-West Boyce,Arthur-Cyril SMITH,Charles-Napier 2738 2180 0 0 0 0 0
Annapolis Davidson,Avard-Longley Pickup,Samuel-Walter-Willet 2131 2118 0 0 0 0 0
Antigonish Chisholm,William CAMERON,John-J. 987 1468 0 0 0 0 0
Argenteuil Perley,George-Halsey TANNER,Agenor-Henry 1824 1227 0 0 0 0 0
Assiniboia Turriff,John-Gillanders SMITH,Christopher-"C". 3578 5804 0 0 0 0 0
Bagot Marcile,Joseph-Edmond MARSIL,Tancrède 1750 1845 0 0 0 0 0
Battleford Champagne,Albert HOWELL,Marshall-Job 3522 5453 0 0 0 0 0
Beauce Béland,Henri-Sévérin CLOUTIER,Georges 3459 4823 0 0 0 0 0
Beauharnois Papineau,Louis-Joseph Bergeron,Joseph-Gédéon-Horace 1876 0 0 0 0 0 1849
Bellechasse Lavallée,Joseph-Octave Talbot,Onésiphore-Ernest 1742 1696 0 0 0 0 0
Berthier Barrette,Joseph-Arthur ECREMENT,Joseph-Wilfrid-Arthur 1638 1612 383 0 0 0 0
Bonaventure Marcil,Charles MOUSSEAU,Joseph-Alfred 1395 2444 0 0 0 0 0
Brandon Aikins,James-Albert-Manning HILL,Alfred-Edward 4436 3570 0 0 0 0 0
Brant Fisher,John-Henry Paterson,William 1795 1666 0 0 0 0 0
Brantford Cockshutt,William-Foster PRESTON,Thomas-Hiram 3159 2440 0 0 0 0 0
Brockville Webster,John Graham,George-Perry 2251 2140 0 0 0 0 0
Brome Baker,George-Harold Fisher,Sydney-Arthur 1520 1496 0 0 0 0 0
Bruce-North Clark,Hugh Tolmie,John 2526 2444 0 0 0 0 0
Bruce-South Donnelly,James-J. Truax,Reuben-Eldridge 2878 2775 0 0 0 0 0
Calgary Bennett,Richard-Bedford VAN-WART,Isaac-Stephen-Gerow 7671 4805 0 0 0 0 716
Cape-Breton-South Carroll,William-F. Maddin,James-William 0 5069 223 0 0 0 4965
Carleton Carvell,Frank-Broadstreet Smith,Benjamin-Franklin 2603 2614 0 0 0 0 0
Carleton Kidd,Edward MACLEAN,Donald-Hector 2616 1339 0 0 0 0 0
Chambly--Verchères Rainville,Joseph-Hormisdas Geoffrion,Victor 2712 2576 0 0 0 0 0
Champlain Blondin,Pierre-Édouard Rousseau,Jeffrey-Alexandre 3811 3444 0 0 0 0 0
Charlevoix Forget,Joseph-David-Rodolphe Cannon,Lucien 2020 1358 0 0 0 0 0
Charlotte Hartt,Thomas-Aaron Todd,William-Frederick 2685 2489 0 0 0 0 0
Chicoutimi--Saguenay Girard,Joseph SCOTT,Benjamin-Alexandre 0 2523 3798 0 0 0 1989
Châteauguay Brown,James-Pollock Morris,James 1241 1281 0 0 0 0 0
St.-John-(City-and-County-of) Daniel,John-Waterhouse LOWELL,James 5491 5381 0 0 0 0 0
St.-John-(City-of-) Pugsley,William Powell,Henry-Absalom 4295 4360 0 0 0 0 0
Colchester Stanfield,John MCLELLAN,Samuel-David 2847 2203 0 0 0 0 0
Comox--Atlin Clements,Herbert-Sylvester Ross,Duncan 1810 1622 0 0 0 0 0
Compton Cromwell,Frederick-Robert Hunt,Aylmer-Byron 2953 2877 0 0 0 0 0
Cumberland Rhodes,Edgar-Nelson Logan,Hance-James 4780 4442 0 0 0 0 0
Dauphin Cruise,Robert Campbell,Glenlyon 2926 3674 0 0 0 0 0
Deux-Montagnes Éthier,Joseph-Arthur-Calixte None 0 1 0 0 0 0 0
Digby Jameson,Clarence WALL,Allan-Ellsworth 2126 1866 0 0 0 0 0
Dorchester Sévigny,Albert Roy,Joseph-Alfred-Ernest 2506 2164 0 0 0 0 0
Drummond--Arthabaska Brouillard,Joseph-Ovide Gilbert,Arthur 0 3800 0 0 0 3533 0
Dufferin Best,John BROWN,David-Bent 2496 1037 0 0 0 0 0
Dundas Broder,Andrew CAMPBELL,John-Alexander 2262 1618 0 0 0 0 0
Durham Thornton,Charles-Jonas KELLY,Thomas-Alexander 3291 2567 0 0 0 0 0
Edmonton Oliver,Frank Griesbach,William-Antrobus 4832 7070 555 0 0 0 0
Elgin-East Marshall,David MILLER,Francis-Hincks 2313 1919 0 0 0 0 0
Elgin-West Crothers,Thomas-Wilson MACNISH,Donald 3629 2732 0 0 0 0 0
Essex-North Wilcox,Oliver-James DEWAR,Peter-Anderson 3616 3440 0 0 0 0 0
Essex-South Clarke,Alfred-Henry PARK,William-Frederick 2745 2946 0 0 0 0 0
Frontenac Edwards,John-Wesley FAIR,Robert-Hewton 2629 1776 0 0 0 0 0
Gaspé Gauthier,Louis-Philippe Lemieux,Rodolphe 2470 1900 0 0 0 0 0
Glengarry McMillan,John-Angus MCMARTIN,Duncan 1949 2175 0 0 0 0 0
Gloucester Turgeon,Onésiphore BURNS,Theobald-Matthew 2180 3172 0 0 0 0 0
Grenville Reid,John-Dowsley MARTIN,Samuel-John 2286 0 0 0 0 0 1373
Grey-East Sproule,Thomas-Simpson HARTMAN,Clayton-Webb 2560 1475 0 0 0 0 0
Grey-North Middlebro,William-Sora HARRISON,Frederick-William 3326 2974 0 0 0 0 0
Grey-South Ball,Robert-James Miller,Henry-Horton 2139 2091 0 0 0 0 0
Guysborough Sinclair,John-Howard ROWLINGS,George-Anderson-Rowe 1700 2043 0 0 0 0 0
Haldimand Lalor,Francis-Ramsey MILLER,Robert-Francis 2817 2138 0 0 0 0 0
Halifax Borden,Robert-Laird--and--Maclean,Alexander-Kenneth Blackadder,Edward 7040 6946 0 0 0 0 6879
Halton Henderson,David SMITH,Walter-Harland 2618 2199 0 0 0 0 0
Hamilton-East Barker,Samuel PEEBLES,John 4981 2406 0 0 0 0 0
Hamilton-West Stewart,Thomas-Joseph MCLAREN,John-Inglis 4390 2570 0 0 0 0 522
Hants Tremain,Hadley-Brown Black,Judson-Burpee 2191 2105 0 0 0 0 0
Hastings-East Northrup,William-Barton CLARK,Peter-Perry 2899 1833 0 0 0 0 0
Hastings-West Porter,Edward-Guss HUBBELL,William-Henry 3623 1852 0 0 0 0 0
Hochelaga Coderre,Louis Rivet,Louis-Alfred-Adhémar 7178 0 0 0 0 0 5805
Humboldt Neely,David-Bradley HEARN,John-Harvey 2947 7265 0 0 0 0 0
Huntingdon Robb,James-Alexander Walsh,Robert-Nelson 1172 1318 0 0 0 0 0
Huron-East Bowman,James HISLOP,Archibald 2020 1822 0 0 0 0 0
Huron-South Merner,Jonathan-Joseph McLean,Murdo-Young 2360 2246 0 0 0 0 0
Huron-West Lewis,Edward-Norman CAMERON,Malcolm-Graeme 2024 1849 0 0 0 0 0
Inverness Chisholm,Alexander-William GALLANT,Thomas 1920 2928 128 0 0 0 0
Jacques-Cartier Monk,Frederick-Debartzch BOYER,Louis-Joseph-Charles-Émile 5782 4442 0 0 0 0 0
Joliette Guilbault,Joseph-Pierre-Octave Dubeau,Joseph-Adélard 2239 2173 0 0 0 0 0
Kamouraska Lapointe,Ernest POTVIN,Wilfrid-Adélard 1754 1840 0 0 0 0 0
Kent Robidoux,Ferdinand-Joseph Léger,Auguste-Théophile 2334 2129 0 0 0 0 0
Kent-East Gordon,David-Alexander FRENCH,Harry-James 2321 2604 0 0 0 0 0
Kent-West McCoig,Archibald-Blake STANWORTH,Ward 3605 3671 0 0 0 0 0
Kings Foster,Arthur-de-Witt Borden,Frederick-William 2474 2323 0 0 0 0 0
King's Hughes,James-Joseph Fraser,Austin-Levi 2524 2538 0 0 0 0 0
King's-and-Albert Fowler,George-William McAlister,Duncan-Hamilton 3734 3402 0 0 0 0 0
Kingston Nickle,William-Folger MOWAT,John-McDonald 2322 1977 0 0 0 0 0
Kootenay Goodeve,Arthur-Samuel King,James-Horace 4113 3039 0 0 0 0 0
L'Assomption Séguin,Paul-Arthur MORIN,Louis-Joseph-Siméon 1209 1508 0 0 0 0 0
L'Islet Paquet,Eugène BOURGAULT,Armand 1578 1144 0 0 0 0 0
Labelle Achim,Honoré Major,Charles-Beautron 2902 2818 0 0 0 0 0
Lambton-East ARMSTRONG,Joseph-Emmanuel FAIRBANK,Charles-Oliver 2720 2226 0 0 0 0 0
Lambton-West Pardee,Frederick-Forsyth LESUEUR,Richard-Esnouf 3050 3139 0 0 0 0 0
Lanark-North Thoburn,William Caldwell,Thomas-Boyd 1613 1386 0 0 0 0 0
Lanark-South Haggart,John-Graham MCKIMM,George-Frederick 2234 1067 0 0 0 0 0
Laprairie--Napierville Lanctôt,Roch Monette,Gustave 1626 1795 0 0 0 0 0
Laval Wilson,Charles-Avila Léonard,Joseph-Édouard-Émile 2449 2648 0 0 0 0 0
Leeds Taylor,George CROSS,Firman 2392 1452 0 0 0 0 0
Lennox-and-Addington Paul,William-James VROOMAN,John-Perry 2580 1994 0 0 0 0 0
Lincoln Lancaster,Edward-Arthur LOVELACE,Edwin-John 4576 3023 0 0 0 0 0
Lisgar Sharpe,William-Henry GREENWAY,John-Franklin 1692 1672 0 0 0 0 0
London Beattie,Thomas MCEVOY,John-Millar 5263 0 0 0 0 0 3352
Lotbinière Fortier,Edmond LALIBERTÉ,Wilfrid 1520 1870 0 0 0 0 0
Lunenburg Stewart,Dugald Sperry,John-Drew 3645 3237 0 0 0 0 0
Lévis Bourassa,Joseph-Boutin BÉGIN,Joseph 1971 2800 0 0 0 0 0
Macdonald Staples,William-D. WOODS,James-Smith 2956 2795 0 0 0 0 0
Mackenzie Cash,Edward-L. LIVINGSTONE,Charles-Donald 1739 4090 0 0 0 0 0
Macleod Warnock,David Herron,John 2841 3660 902 0 0 0 0
Maisonneuve Verville,Alphonse VILLENEUVE,Eugène-Walter 9349 0 0 11538 0 0 0
Marquette Roche,William-James GRIERSON,George-Allison 3409 3283 0 0 0 0 0
Maskinongé Bellemare,Adélard Mayrand,Hormidas 0 1398 1507 0 0 0 0
Medicine-Hat Buchanan,William-Ashbury Magrath,Charles-Alexander 4875 6330 0 0 0 0 0
