Riding winner loser Unionist Opposition Independent Labour Unknown
Algoma-East Nicholson,George-Brecken O'CONNOR,Lawrence 4742 3596 0 0 0
Algoma-West Simpson,Thomas-Edward SMITH,Charles-Napier 4780 2510 0 658 0
Antigonish--Guysborough Sinclair,John-Howard WELLS,William-Alexander 2506 3944 0 0 0
Argenteuil McGibbon,Peter-Robert SLATER,Harry 1684 2113 0 0 0
Assiniboia Turriff,John-Gillanders WADDINGTON,Edward 6836 2312 0 0 0
Bagot Marcile,Joseph-Edmond LAFONTAINE,Joseph-Eugène 92 3318 0 0 0
Battle-River Blair,William-John Warner,Daniel-Webster 5733 4195 0 0 0
Battleford Wright,Henry-Oswald GOURLAY,Wallace-Gordon-Allan 5404 1693 0 0 0
Beauce Béland,Henri-Sévérin None 0 1 0 0 0
Beauharnois Papineau,Louis-Joseph None 0 1 0 0 0
Bellechasse Fournier,Charles-Alphonse GRENIER,Honoré 60 3752 0 0 30
Berthier Gervais,Joseph-Charles-Théodore ECREMENT,Joseph-Wilfrid-Arthur 0 2422 1440 0 0
Bonaventure Marcil,Charles FUROIS,Philippe 1236 4131 0 0 0
Bow-River Halladay,Howard-Hadden GOUGE,Jesse-Elmer 3757 2996 0 312 1453
Brandon Whidden,Howard-Primrose PATERSON,Hugh-Savigny 11465 1329 0 0 0
Brant Harold,John COCKSHUTT,Henry 2106 1299 2023 0 0
Brantford Cockshutt,William-Foster BOWLBY,John-Wedgewood 5925 2233 0 1726 0
Brome McMaster,Andrew-Ross DRAPER,Dennis-Colburn 1488 1926 0 0 0
Bruce-North Clark,Hugh MACAULAY,John 4269 2579 0 0 0
Bruce-South Truax,Reuben-Eldridge MCNAB,Alexander-Eugene 3456 3628 0 0 0
Burrard Crowe,Sanford-Johnston DONNELLY,Patrick 12566 4707 0 1744 0
Calgary-East Redman,Daniel-Lee Irvine,William 8363 3911 0 0 0
Calgary-West Tweedie,Thomas-Mitchell-March Irvine,John-Alfred 10986 4015 0 0 0
North-Cape-Breton-and-Victoria McKenzie,Daniel-Duncan McCormick,John 3649 4477 0 0 0
Cape-Breton-South-and-Richmond Douglas,John-Carey--and--Butts,Robert-Hamilton Kyte,George-William 8073 6738 0 3667 6690
Cariboo Fulton,Frederick-John LEIGHTON,Raymond-Findlay 6010 2804 0 0 0
Carleton Boyce,George HONEYWELL,Frederick-Henry 5290 2669 0 0 0
Chambly--Verchères Archambault,Joseph Rainville,Joseph-Hormisdas 2675 4740 0 0 0
Champlain Desaulniers,Arthur-Lesieur Blondin,Pierre-Édouard 472 7095 0 0 0
Charlevoix--Montmorency Casgrain,Pierre-François BOUCHARD,Philippe 129 5197 0 0 0
Charlotte Hartt,Thomas-Aaron Todd,William-Frederick 3248 2631 0 0 0
Chicoutimi--Saguenay Savard,Edmond Girard,Joseph 971 11002 0 0 0
Châteauguay--Huntingdon Robb,James-Alexander Morris,James 1990 3835 0 0 40
Colchester McCurdy,Fleming-Blanchard None 1 0 0 0 0
Comox--Alberni Clements,Herbert-Sylvester McInnes,William-Wallace-Burns 3652 2162 0 0 0
Compton Hunt,Aylmer-Byron MCIVER,Kenneth-Nicholson 2515 4418 0 0 0
Cumberland Rhodes,Edgar-Nelson Logan,Hance-James 6655 5459 0 0 0
Dauphin Cruise,Robert None 1 0 0 0 0
Digby-and-Annapolis Davidson,Avard-Longley Lovett,Lewis-Johnstone 4596 3777 0 0 0
Dorchester Cannon,Lucien Sévigny,Albert 497 4228 0 0 0
Drummond--Arthabaska Brouillard,Joseph-Ovide None 0 1 0 0 0
Dufferin Best,John DRYDEN,Thomas-Charlo 3797 806 0 0 0
Dundas Casselman,Orren-D. MACINTYRE,Alexander-W. 4236 2806 0 0 0
Durham Rowell,Newton-Wesley JONES,George-William 5923 1404 0 0 0
Edmonton-East Mackie,Henry-Arthur MAY,Alexander-Esson 6775 4122 0 0 0
Edmonton-West Griesbach,William-Antrobus Oliver,Frank 9637 6939 0 0 0
Elgin-East Marshall,David CHARLTON,William-Granville 2591 2283 0 0 0
Elgin-West Crothers,Thomas-Wilson TOLMIE,William 5173 3526 0 0 0
Essex-North Kennedy,William-Costello WIGLE,Ernest-S. 6718 7164 0 0 0
Essex-South Brien,John-Wesley ATKIN,Robert 3645 3476 0 0 0
Fort-William-and-Rainy-River Manion,Robert-James DENNIS,Albert-Hugh 5943 2560 0 0 0
Westminster-District Stacey,Frank-Bainard RAMSEY,Peter-Bethavan-Hamilton 4074 1792 0 0 0
Frontenac Edwards,John-Wesley Halliday,James 3641 1658 0 0 0
Gaspé Lemieux,Rodolphe Gauthier,Louis-Philippe 1160 5438 0 0 0
George-Étienne-Cartier Jacobs,Samuel-William BUHAY,Michael 0 6130 0 608 512
Glengarry-and-Stormont McMartin,John None 1 0 0 0 0
Gloucester Turgeon,Onésiphore None 0 1 0 0 0
Grenville Reid,John-Dowsley MACKINTOSH,Pember-Alton 3011 1734 0 0 0
Grey-North Middlebro,William-Sora DANARD,Arthur-Leslie 5815 3521 0 0 0
Grey-Southeast Ball,Robert-James WRIGHT,William-Henry 4845 3609 0 0 0
Haldimand Lalor,Francis-Ramsey PARSONS,John-James 3696 2480 0 0 0
Halifax Maclean,Alexander-Kenneth--and--Martin,Peter-Francis None 1 0 0 0 0
Halton Anderson,Robert-King GREGORY,Walter-Dymond 4802 2032 0 0 0
Hamilton-East Mewburn,Sydney-Chilton Halcrow,George-Grant 11340 4588 0 0 0
Hamilton-West Stewart,Thomas-Joseph ROLLO,Walter-Ritchie 6451 2610 0 3678 0
Hants Tremain,Hadley-Brown Martell,Lewis-Herbert 2989 2696 0 0 0
Hastings-East Thompson,Thomas-Henry CROSS,William 4202 1909 0 0 0
Hastings-West Porter,Edward-Guss GRAHAM,Robert-James 5710 4085 0 0 0
Hochelaga Lesage,Joseph-Edmond MARTEL,Gédéon 0 9697 0 309 287
Hull Fontaine,Joseph-Éloi None 0 1 0 0 0
Humboldt Lang,Norman BARRY,Joseph-Leonard 5536 3362 0 0 0
Huron-North Bowman,James HISLOP,Archibald 4799 2770 0 0 0
Huron-South Merner,Jonathan-Joseph McMillan,Thomas 3932 3389 0 0 0
Inverness Chisholm,Alexander-William GALLANT,Thomas 2258 3544 0 0 0
Jacques-Cartier Lafortune,David-Arthur JASMIN,Aquila 6917 9228 0 0 0
Joliette Denis,Jean-Joseph Dubeau,Joseph-Adélard 0 2459 0 0 2122
Kamouraska Lapointe,Ernest RIOU,Samuel-Charles 191 3453 0 0 0
Kent Léger,Auguste-Théophile Robidoux,Ferdinand-Joseph 1323 3563 0 0 0
Kent McCoig,Archibald-Blake PLEWES,John-Warcup 0 7402 6313 0 0
Kindersley Myers,Edward-Thomas-Wordon SEWARD,James-Thrasher 8310 2750 0 0 0
Kings Borden,Robert-Laird SEALY,James 3941 2524 0 0 0
King's McIsaac,James Hughes,James-Joseph 2889 2837 0 0 0
Kingston Nickle,William-Folger RICHARDSON,Alexander-White 6194 1782 0 0 0
Kootenay-East Bonnell,Saul Beattie,Robert-Ethelbert 3398 1549 0 434 0
Kootenay-West Green,Robert-Francis MAXWELL,Winfield 5377 1735 0 1399 0
L'Assomption--Montcalm Séguin,Paul-Arthur RICHARD,Jean-Baptiste-Trefflé 172 5181 0 0 0
L'Islet Fafard,Joseph-Fernand None 0 1 0 0 0
Labelle Fortier,Hyacinthe-Adélard None 0 1 0 0 0
Lambton-East ARMSTRONG,Joseph-Emmanuel MCDOUGALL,Neil 4239 3255 0 0 0
Lambton-West Pardee,Frederick-Forsyth MERRISON,James-Graham 5691 2842 0 0 0
Lanark Hanna,Adelbert-Edward CALDWELL,Boyd-Alexander-Conyn 5816 2609 0 0 661
Laprairie--Napierville Lanctôt,Roch PAGNUELO,Mastaï 143 3395 0 0 0
Last-Mountain Johnston,John-Frederick None 1 0 0 0 0
Laurier--Outremont Du-Tremblay,Pamphile-Réal-Blaise-Nugent Blondin,Pierre-Édouard 6196 7443 0 0 0
Laval--Deux-Montagnes Éthier,Joseph-Arthur-Calixte None 0 1 0 0 0
Leeds White,William-Thomas Hardy,Arthur-Charles 7236 4069 0 0 0
Lennox-and-Addington Paul,William-James GRANGE,Edward-Wilkinson 3477 1895 0 0 0
Lethbridge Buchanan,William-Ashbury PACK,L.-Lambert 5302 2468 0 0 0
Lincoln Chaplin,James-Dew LOVELACE,Edwin-John 9335 3816 0 0 0
Lisgar Bolton,Ferris QUINN,Ernest-Wesley 3834 613 0 0 0
London Cronyn,Hume GIBBONS,George-Sutton 11136 6783 0 0 0
Lotbinière Vien,Thomas ROUSSEAU,Marie-Joseph-Émile 164 3896 0 0 0
Lunenburg Duff,William MARGESON,Joseph-Willis 3861 4699 0 0 0
Lévis Bourassa,Joseph-Boutin BERNIER,Alphonse 984 5174 0 0 0
Macdonald Henders,Richard-Coe WALSH,William-Henry 5327 1561 0 0 0
Mackenzie Reid,John-Flaws McPhee,George-Washington 3047 0 0 0 2370
Macleod Shaw,Hugh-Murray MCIVOR,Donald-Randolph 5128 2610 0 0 950
Maisonneuve Lemieux,Rodolphe Cahan,Charles-Hazlitt 3140 7173 0 0 0
Maple-Creek Maharg,John-Archibald None 1 0 0 0 0
Marquette Crerar,Thomas-Alexander HAMILTON,Frederick-Charles 8672 1152 0 0 0
Maskinongé Mayrand,Hormidas THIBODEAU,Adolphe-Joseph 0 2721 0 0 219
Matane Pelletier,François-Jean Boulay,Herménégilde 447 5010 0 0 0
Medicine-Hat Sifton,Arthur-Lewis-W. REILLY,Clifford-Bernardo 6869 3568 0 0 460
Middlesex-East Glass,Samuel-Francis ROSS,James-McCulloch 4212 2755 0 0 0
Middlesex-West Ross,Duncan-Campbell Elliott,George-Adam 3531 3930 0 0 0
Missisquoi Kay,William-Frederic ENGLAND,George-Provost 1444 2582 0 0 0
Montmagny Déchêne,Joseph-Bruno-Aimé-Miville La-Vergne,Armand-Renaud 36 2394 1343 0 0
Moose-Jaw Calder,James-Alexander SOMERVILLE,James 8866 2946 0 0 0
Muskoka McGibbon,Peter THOMAS,George-Henry-Oakwood 3457 1878 0 0 0
Mégantic Pacaud,Lucien-Turcotte None 0 1 0 0 0
Nanaimo McIntosh,John-Charles STEWART,Hector-Allen 9175 1976 0 1344 0
Neepawa Davis,Fred-Langdon MCGREGOR,Albert-Daniel 5102 2046 0 0 0
Nelson Campbell,John-Archibald None 1 0 0 0 0
New-Westminster McQuarrie,William-Garland McRae,Alexander-Duncan 7380 2882 0 0 0
Nicolet Trahan,Arthur None 0 1 0 0 0
Nipissing Harrison,Charles-Robert Lapierre,Edmond-Antoine 6411 6367 0 0 0
Norfolk Charlton,William-Andrew Wallace,John-Alexander 4544 3258 0 0 0
North-Battleford Long,Charles-Edwin COMERFORD,Charles 5630 3732 0 0 0
Northumberland Loggie,William-Stewart Morrissy,John-Veriker 4648 3601 0 0 0
Northumberland Munson,Charles-Arthur DUDLEY,Samuel-Drayton 6313 2916 0 0 0
Ontario-North Sharpe,Samuel-Simpson HOGG,Frederick 3123 1568 0 0 0
Ontario-South Smith,William Sinclair,William-Edmund-Newton 5205 2682 0 0 0
Ottawa-(City-of) Fripp,Alfred-Ernest--and--Chabot,John-Léo Laurier,Wilfrid 18547 13289 0 0 13077
Oxford-North Nesbitt,Edward-Walter Sutherland,Donald-Matheson 3836 3074 0 0 0
Oxford-South Sutherland,Donald Schell,Malcolm-Smith 4124 2812 0 0 0
Parkdale Mowat,Herbert-Macdonald MCCORMACK,Carson-Alexander-Viv 13306 3698 7736 0 0
Parry-Sound Arthurs,James HOCKEN,Norman-Cecil 5182 2043 0 0 0
Peel Charters,Samuel PETCH,Benjamin 4751 2499 0 0 0
Perth-North Morphy,Hugh-Boulton Rankin,James-Palmer 5977 4109 0 0 0
Perth-South Steele,Michael Forrester,William 2770 2713 0 0 0
Peterborough-East Sexsmith,John-Albert JOHNSTON,William-H. 2555 1389 0 0 0
Peterborough-West Burnham,John-Hampden Hall,Robert-Richard 6382 2964 0 0 0
Pictou McGregor,Alexander MACKAY,Robert-Hugh 6800 6043 0 0 0
