Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Labour Independent United-Farmers-of-Ontario Unknown
Algoma-East Carruthers,John-W. Nicholson,George-Brecken 4194 5007 3095 0 0 0 0 0
Algoma-West Simpson,Thomas-Edward Hamilton,Henry-Sidney 4279 3565 2822 0 0 0 0 0
Antigonish--Guysborough McIsaac,Colin-Francis MCNEIL,Walter 3356 6752 1553 0 0 0 0 0
Argenteuil McGibbon,Peter-Robert CHRISTIE,Thomas 2819 3674 755 0 0 0 0 0
Assiniboia Gould,Oliver-Robert MCLEOD,Hugh 2225 2847 6549 0 0 0 0 0
Bagot Marcile,Joseph-Edmond MARCOTTE,Louis-Homer 0 4004 0 0 0 0 0 3034
Battle-River Spencer,Henry-Elvins MORRISON,John-William-Geddie 1726 1397 12247 0 0 0 0 0
Battleford McConica,Thomas-Henry Champagne,Albert 0 1558 9156 0 0 0 0 0
Beauce Béland,Henri-Sévérin LAMBERT,J.-Ephrem 1335 12030 0 0 0 0 0 0
Beauharnois Papineau,Louis-Joseph MONTY,Rodolphe 3272 5147 0 0 0 0 0 0
Bellechasse Fournier,Charles-Alphonse COTE,Joseph-Cléophas 0 5195 1109 0 0 0 0 0
Berthier Gervais,Joseph-Charles-Théodore Barrette,Joseph-Arthur 2615 4910 0 0 0 0 0 0
Bonaventure Marcil,Charles BUSTEED,Thomas-Robert 1599 6136 0 0 0 0 0 0
Bow-River Garland,Edward-Joseph FULTON,William-Rose 3579 0 11527 0 0 0 0 369
Brandon Forke,Robert IVENS,Charles-Edmund 4067 404 9596 0 0 0 0 0
Brant Good,William-Charles REID,Wiliam-Harper 3150 1645 0 0 0 3309 0 0
Brantford Raymond,William-Gawtress Cockshutt,William-Foster 4892 6879 1244 0 0 0 0 0
Brome McMaster,Andrew-Ross BOULAY,Joseph 2163 3768 0 0 0 0 0 0
Bruce-North Malcolm,James STACEY,Richmond-Earl 2553 4178 3704 0 0 0 0 0
Bruce-South Findlay,John-Walter Truax,Reuben-Eldridge 2232 3849 4762 0 0 0 0 0
Burrard Clark,John-Arthur MACDONALD,Malcolm-Archibald 12240 6960 0 0 0 2699 0 0
Calgary-East Irvine,William Smith,Arthur-Leroy 4237 3684 0 0 6135 0 0 0
Calgary-West Shaw,Joseph-Tweed Bennett,Richard-Bedford 7353 1351 0 0 7369 0 0 0
North-Cape-Breton-and-Victoria McKenzie,Daniel-Duncan MCKENZIE,Murdoch-A. 0 7399 0 0 0 0 0 4060
Cape-Breton-South-and-Richmond Carroll,William-F.--and--Kyte,George-William MACLACHLAN,James-Bryson 7694 10524 8914 0 0 0 0 0
Cariboo McBride,Thomas-George ROBINSON,John-Thomas 3879 0 7185 0 0 0 0 0
Carleton Garland,William-Foster GOURLAY,William-Lochead 5537 4142 3474 0 0 257 0 0
Chambly--Verchères Archambault,Joseph GUERTIN,Aimé 4845 8847 0 0 0 0 0 0
Champlain Desaulniers,Arthur-Lesieur DESROCHERS,Joseph-Hildèges 3170 11709 2090 0 0 0 0 0
Charlevoix--Montmorency Casgrain,Pierre-François Belley,Louis-de-Gonzague 2902 7727 0 0 0 0 0 0
Charlotte Grimmer,Robert-Watson Todd,William-Frederick 5202 5069 0 0 0 0 0 0
Chicoutimi--Saguenay Savard,Edmond Girard,Joseph 4728 19427 0 0 0 2975 0 0
Châteauguay--Huntingdon Robb,James-Alexander MCARTHUR,Peter-Daniel 0 5915 548 0 4061 0 0 0
Colchester Putnam,Harold McCurdy,Fleming-Blanchard 5562 5888 0 0 0 0 0 0
Comox--Alberni Neill,Alan-Webster Clements,Herbert-Sylvester 2935 0 4170 0 0 0 0 579
Compton Hunt,Aylmer-Byron Cromwell,Frederick-Robert 3961 7866 0 0 0 0 0 0
Cumberland Logan,Hance-James BENT,Charles-Edward 4407 9762 3094 0 0 0 0 0
Dauphin Ward,William-John Cruise,Robert 2138 0 7779 0 0 0 0 0
Digby-and-Annapolis Lovett,Lewis-Johnstone Davidson,Avard-Longley 5153 7388 0 0 0 0 0 0
Dorchester Cannon,Lucien VALLIÈRE,Philomon 2703 5744 0 0 0 0 0 0
Drummond--Arthabaska Laflamme,Napoléon-Kemner BLANCHARD,Wilfrid 1902 10280 2154 0 0 1503 0 0
Dufferin Woods,Robert-John Best,John 3755 0 4052 0 0 0 0 0
Dundas Elliott,Preston Casselman,Orren-D. 5499 0 5732 0 0 0 0 0
Durham Bowen,Fred-Wellington REID,Thomas-Albert-Victor 5106 3441 3936 0 0 0 0 0
Edmonton-East Kellner,Donald-Ferdinand CLARKE,Joseph-Andrew 3139 4147 6094 0 0 0 0 0
Edmonton-West Kennedy,Donald-MacBeth Oliver,Frank 4441 8603 10011 0 0 0 0 0
Elgin-East Stansell,John-Lawrence McDermand,Sydney-Smith 3240 1750 3172 0 0 0 0 0
Elgin-West McKillop,Hugh-Cummings HOOKWAY,Alfred-Ernest 4367 3631 4013 0 0 0 0 0
Essex-North Kennedy,William-Costello NEAL,Harry-James 6981 14176 0 0 0 0 0 0
Essex-South Graham,George-Perry WILLAN,Thomas-James 2953 4968 4455 0 0 0 0 0
Fort-William-and-Rainy-River Manion,Robert-James GARVER,DeWitt-Clinton 5642 0 5342 0 0 0 0 0
Fraser-Valley Munro,Elgin-Albert Stacey,Frank-Bainard 4092 4307 0 0 0 0 0 0
Frontenac Reed,William-Samuel Edwards,John-Wesley 4557 0 4780 0 0 0 0 0
Gaspé Lemieux,Rodolphe SIROIS,Joseph-Ernest 2267 9728 0 0 0 0 0 0
George-Étienne-Cartier Jacobs,Samuel-William CARTIER,Joseph-Ovila 854 7790 0 0 0 3519 0 109
Glengarry-and-Stormont Kennedy,John-Wilfred CHEVRIER,Joseph-Elphège 3892 5942 6320 0 0 0 0 0
Gloucester Turgeon,Onésiphore DE-GRACE,Joseph-Edward 2842 7671 0 0 0 0 0 0
Grenville Casselman,Arza-Clair PAYNE,George-Arthur 4325 2014 2392 0 0 0 0 0
Grey-North Duncan,Matthew-Robert RUTHERFORD,Thomas-John 5741 3675 5538 0 0 0 0 0
Grey-Southeast Macphail,Agnes-Campbell Ball,Robert-James 4360 2638 6958 0 0 0 0 0
