Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Liberal-Progressive Labour Independent Unknown
Acadia Gardiner,Robert None 0 0 0 1 0 0 0 0
Algoma-East Nicholson,George-Brecken Bowman,Beniah 7231 6934 0 0 0 0 0 0
Algoma-West Simpson,Thomas-Edward WHYTALL,Albert-Ernest 7531 6108 0 0 0 0 0
Antigonish--Guysborough Duff,William RICE,Howard-A. 5811 6370 0 0 0 0 0 0
Argenteuil Perley,George-Halsey LEGAULT,Joseph-Louis-Lorenzo 4709 3940 0 0 0 0 0 0
Assiniboia McKenzie,Robert CREIGHTON,James-Forbes 7466 8226 0 0 0 0 0 0
Athabaska Buckley,John-Francis Kellner,Donald-Ferdinand 2218 5504 0 4190 0 0 0 0
Bagot Dumaine,Cyrille GAUTHIER,Léon 3479 3654 0 0 0 0 0 0
Battle-River Spencer,Henry-Elvins MORRISON,John-William-Geddie 3927 0 0 6874 0 0 0 0
Beauce Lacroix,Édouard JACOB,J.-Linière 6567 12093 0 0 0 0 0 0
Beauharnois Raymond,Maxime LEBEUF,Joseph-Hormisdas 3989 5714 0 0 0 0 0 0
Bellechasse Boulanger,Joseph-Oscar-Lefebre GAUDETTE,Joseph-Wilfrid 2793 4786 0 0 0 0 0 0
Berthier--Maskinongé Barrette,Joseph-Arthur Gervais,Joseph-Charles-Théodore 7206 6850 0 0 0 0 0 0
Bonaventure Marcil,Charles MORGAN,Edward-Andrew-D. 5848 5894 0 0 0 0 0 0
Bow-River Garland,Edward-Joseph GRAHAM,Dawson 4653 0 0 5825 0 0 0 0
Brandon Beaubier,David-Wilson Crerar,Thomas-Alexander 8512 6457 0 0 0 1331 0 0
Brant Smoke,Franklin Harold,John 5094 4372 0 0 0 0 0 0
Brantford-City Ryerson,Robert-Edwy Macdonald,William-Ross 9154 6072 0 0 0 0 0 0
Brome--Missisquoi Pickel,Follin-Horace Kay,William-Frederic 8070 6584 0 0 0 0 0 0
Bruce-North Malcolm,James MITCHELL,William 5543 5620 0 0 0 0 0 0
Bruce-South Hall,Walter-Allan MOFFAT,Foster-Graham 4837 5738 0 0 0 0 0 0
Calgary-East Stanley,George-Douglass Adshead,Herbert-Bealey 11344 0 0 0 0 6002 0 0
Calgary-West Bennett,Richard-Bedford MCLAURIN,Colin-Campbell 13883 5887 0 0 0 0 0 0
Camrose Lucas,William-Thomas MCIVOR,Donald-Randolph 0 4432 0 6462 0 0 0 0
Cape-Breton-North--Victoria Johnstone,Lewis-Wilkieson DWYER,Michael 7075 5184 0 0 0 0 0 0
Cape-Breton-South MacDonald,Finlay Cameron,Daniel-Alexander 15886 9268 0 0 0 0 0 0
Cariboo Fraser,John-Anderson PERRY,Henry-George-Thomas 8548 8220 0 0 0 0 0 0
Carleton Garland,William-Foster CUMMINGS,Mortimer-Newton 7317 7027 0 0 0 0 2369 0
Cartier Jacobs,Samuel-William WOLFE,Louis 1928 8231 0 0 0 0 1294 540
Chambly--Verchères Duranleau,Alfred GEOFFRION,Amédée 9024 7827 0 0 0 0 0 0
Champlain Baribeau,Jean-Louis Desaulniers,Arthur-Lesieur 9024 8232 0 0 0 0 1797 0
Charlevoix--Saguenay Casgrain,Pierre-François MAHER,Thomas 8078 10806 0 0 0 0 0 0
Charlotte Ganong,Arthur-D. SCOVIL,John-W. 5595 4092 0 0 0 0 0 0
Chicoutimi Dubuc,Julien-Édouard-Alfred LAVERGNE,Joseph-Adam 9744 10641 0 0 0 0 0 0
Châteauguay--Huntingdon Moore,John-Clarke O'Connor,Dennis-James 5934 5445 0 0 0 0 0 0
Colchester Urquhart,Martin-Luther MacNutt,George-Taylor 5734 6131 0 0 0 0 0 0
Comox--Alberni Neill,Alan-Webster GRAHAM,Thomas 3270 0 0 0 0 0 5651 0
Compton Gobeil,Samuel Letellier-de-Saint-Just,Joseph-Étienne 6701 6393 0 0 0 0 0 0
Cumberland Smith,Robert-Knowlton SMILEY,John-Stanley 8854 7401 0 0 0 0 0 0
Dauphin Bowman,James-Langstaff Ward,William-John 7083 0 0 0 6399 0 0 0
Digby--Annapolis Short,Harry-Bernard Pickup,Samuel-Walter-Willet 8357 8282 0 0 0 0 0 0
Dorchester Gagnon,Onésime Cannon,Lucien 5771 5433 0 0 0 0 0 0
Drummond--Arthabaska Girouard,Wilfrid KIROUAC,Agésilas 7784 11241 0 0 0 0 0 0
Dufferin--Simcoe Rowe,William-Earl Case,Wilfrid-Garfield 9369 4388 0 0 0 0 0 0
Durham Bowen,Fred-Wellington HOLMAN,Montague-John 6827 5221 0 0 0 0 0 0
Edmonton-East Bury,Ambrose-Upton-Gledstanes Blatchford,Kenneth-Alexander 6662 4921 0 0 0 0 0 0
