FEDUID Riding Lib Con NDP Green BQ Ind
10001 Avalon 18646 12538 7101 2172 0 0
10002 Bonavista--Bruin--Trinity 14701 12697 3855 920 0 0
10003 Coast-of-Bays--Central--Notre-Dame 15861 11695 4058 1310 0 0
10004 Labrador 4545 3449 2684 199 0 0
10005 Long-Range-Mountains 18182 10874 7594 1326 0 409
10006 St-Johns-East 14961 8187 21164 818 0 0
10007 St-Johns-South-Mount-Pearl 20094 7537 10703 717 0 137
11001 Cardigan 10687 6303 1468 3006 0 233
11002 Charlottetown 8509 3924 2193 4458 0 168
11003 Egmont 7513 6616 1182 3747 0 0
11004 Malpeque 9533 5899 1495 6103 0 0
12001 Cape-Breton-Canso 16097 14478 6258 3246 0 671
12002 Central-Nova 20718 13201 5896 3478 0 179
12003 Cumberland-Colchester 16672 16219 5451 6015 0 232
12004 Dartmouth-Cole-Harbour 23751 8480 14220 5197 0 0
12005 Halifax 23088 5214 16594 7762 0 226
12006 Halifax-West 26884 10488 10429 6555 0 0
12007 Kings-Hants 20807 11905 8243 6029 0 147
12008 Sackville-Preston-Chezzetcook 19920 11224 11857 5743 0 0
12009 South-Shore-St.-Margarets 21887 14744 8361 6070 0 379
12010 Sydney-Victoria 12536 11228 8150 2249 0 5679
12011 West-Nova 17034 18390 5020 5949 0 453
13001 Acadie-Bathurst 26519 10344 6963 4271 0 0
13002 Beauséjour 24957 9435 3937 14251 0 0
13003 Fredericton 12803 14589 2826 15380 0 277
13004 Fundy-Royal 12015 21727 4660 7060 0 291
13005 Madawaska-Restigouche 17331 9800 2314 5090 0 0
13006 Miramichi-Grand-Lake 12725 12311 2874 3915 0 1160
13007 Moncton-Riverview-Dieppe 22261 12190 6164 9371 0 414
13008 New-Brunswick-Southwest 10110 19457 3251 5352 0 204
13009 Saint-John-Rothesay 15448 14006 5046 4153 0 1191
13010 Tobique-Mactaquac 9631 19229 3007 5343 0 0
24001 Abitibi-Baie-James-Nunavik-Eeyou 8311 4895 3480 1035 11085 312
24002 Abitibi-Temiscamingue 12209 7514 4943 1766 22591 0
24003 Ahuntsic-Cartierville 28560 3974 6148 3256 11635 0
24004 Alfred-Pellan 25810 5891 4141 1898 15459 176
24005 Argenteuil-La-Petite-Nation 18759 6001 3704 2358 18087 0
