FEDUID Riding Liberal Conservative NDP Green Bloc-Quebecois Independent
10001 Avalon 18608 12738 5151 0 0 0
10002 Bonavista--Burin--Trinity 13972 12278 2484 0 0 0
10003 Coast-of-Bays--Central--Notre-Dame 14646 14927 2261 0 0 0
10004 Labrador 4119 2930 2297 0 0 0
10005 Long-Range-Mountains 16178 14344 4347 0 0 0
10006 St-Johns-East 17239 7119 13090 0 0 0
10007 St-Johns-South-MountPearl 19478 6447 8113 0 0 0
11001 Cardigan 11175 6817 2168 1064 0 0
11002 Charlottetown 8919 5932 2048 1832 0 0
11003 Egmont 9040 6088 1688 1771 0 0
11004 Malpeque 9912 7836 1898 3381 0 0
12001 Cape-Breton-Canso 18288 13805 5618 0 0 0
12002 Central-Nova 18682 13060 6225 494 0 365
12003 Cumberland-Colchester 13822 18601 4984 1045 0 278
12004 Dartmouth-Cole-Harbour 24209 0 15267 1371 0 0
12005 Halifax 21905 6601 20347 1128 0 0
12006 Halifax-West 24744 11243 12331 1181 0 0
12007 Kings-Hants 20192 13234 8645 940 0 0
12008 Sackville-Preston-Chezzetcook 18838 12047 12012 933 0 0
12009 South-Shore-St-Margarets 18575 20454 9541 1434 0 0
12010 Sydney-Victoria 14250 13166 7217 376 0 0
12011 West-Nova 13732 22104 5645 0 0 0
13001 Acadie-Bathurst 27817 5916 4906 1203 0 0
13002 Beauséjour 27313 9526 5394 2798 0 0
13003 Fredericton 16316 15814 5564 5666 0 310
13004 Fundy-Royal 11075 21460 6211 2189 0 0
13005 Madawaska-Restigouche 16854 7892 1848 786 0 0
13006 Miramichi-Grand-Lake 12762 14218 2291 1393 0 0
13007 Moncton-Riverview-Dieppe 22460 10692 7774 1935 0 0
13008 New-Brunswick-Southwest 8750 18309 4893 1587 0 0
13009 Saint-John-Rothesay 17375 12315 4816 948 0 0
13010 Tobique-Mactaquac 8223 17536 3656 1657 0 398
24001 Abitibi-Baie-James-Nunavik-Eeyou 7384 4508 3323 442 10784 0
24002 Abitibi-Témiscamingue 11013 5339 2794 748 23120 0
24003 Ahuntsic-Cartierville 26402 4247 5844 1491 11112 0
24004 Alfred-Pellan 24516 6988 3946 940 13399 0
24005 Argenteuil-La-Petite-Nation 19371 6547 3390 0 17842 0
24006 Avignon-La-Mitis-Matane-Matapédia 7095 2912 1501 0 19776 0
24007 Beauce 7018 27514 1654 486 8644 0
24008 Beauport-Limoilou 12378 14164 5075 1025 15146 0
24009 Bécancour-Nicolet-Saurel 8451 8404 2550 770 27403 0
24010 Bellechasse-Les-Etchemins-Lévis 10074 32238 3184 918 14669 306
24011 Beloeil-Chambly 15502 5661 5524 1294 34678 163
24012 Berthier-Maskinongé 8403 6007 18402 548 19339 0
24013 Thérèse-De-Blainville 18396 5773 3827 1018 21526 0
24014 Pierre-Boucher-Les-Patriotes-Verchères 14282 4870 4261 0 29978 0
24015 Bourassa 22303 2587 2956 679 6907 151
24016 Brome-Missisquoi 21488 9961 3828 1466 21291 145
24017 Brossard-Saint-Lambert 28326 6276 5442 0 10441 0
24018 Rimouski-Neigette-Témiscouata-Les-Basques 10482 5569 2641 0 20657 1467
24019 Charlesbourg-Haute-Saint-Charles 11326 25623 3446 972 14237 0
24020 Beauport-Côte-de-Beaupré-Île-dOrléans-Charlevoix 10365 15969 2242 733 19270 227
24021 Châteauguay-Lacolle 18029 5538 3752 801 18017 0
24022 Chicoutimi-Le-Fjord 7676 17228 1944 482 14027 0
24023 Compton-Stanstead 21188 10087 4288 1623 17681 186
24024 Dorval-Lachine-LaSalle 25233 5754 6241 1351 7542 0
24025 Drummond 9614 9179 5709 0 23866 419
24026 Gaspésie-Les-Îles-de-la-Madeleine 17099 3010 1358 0 14481 0
24027 Gatineau 26267 5752 4508 783 12278 0
24028 Hochelaga 18197 2221 9723 965 15089 0
24029 Honoré-Mercier 29033 5086 3537 734 7908 0
24030 Hull-Aylmer 26892 5507 6483 1459 8323 143
24031 Joliette 12731 5314 3100 1126 30913 0
24032 Jonquière 9546 13223 2559 738 19036 0
24033 La-Pointe-de-lÎle 16508 3427 4954 0 23835 0
24034 La-Prairie 20470 5878 4317 983 25862 0
24035 Lac-Saint-Jean 9371 12899 1637 824 25466 0
24036 Lac-Saint-Louis 32477 10911 7679 1868 3078 0
24037 LaSalle-Émard-Verdun 20330 3530 9168 1439 10461 0
24038 Laurentides-Labelle 15966 6770 3907 1570 32133 180
24039 Laurier-Sainte-Marie 16961 1500 14680 992 9114 74
24040 Laval-Les-Îles 24758 8963 3889 760 9656 0
24041 Longueuil-Charles-LeMoyne 19400 3986 4957 1170 16926 0
24042 Lévis-Lotbinière 9286 32731 4497 856 13740 0
24043 Longueuil-Saint-Hubert 21930 3964 4553 1599 23579 0
24044 Louis-Hébert 22933 14332 4337 1573 16247 378
24045 Louis-Saint-Laurent 11228 33098 3370 907 13069 0
24046 Manicouagan 6545 7640 1509 0 18419 0
24047 Mégantic-LÉrable 6329 26121 1308 592 9318 403
24048 Mirabel 14842 8510 5221 1412 29376 0
24049 Montarville 19974 5460 4809 0 26011 0
24050 Montcalm 10196 6011 3218 1317 27378 0
24051 Montmagny-LIslet-Kamouraska-Rivière-du-Loup 8361 24118 1597 0 12550 0
24052 Mount-Royal 23284 9889 3381 1083 1585 0
24053 Notre-Dame-de-Grâce-Westmount 24510 6412 8753 1835 2407 0
24054 Outremont 16714 2882 9579 1198 5535 93
24055 Papineau 22848 2198 10303 1448 6830 199
24056 Pierrefonds-Dollard 29296 10893 6034 0 4141 0
24057 Pontiac 26899 12804 6824 1711 10424 0
24058 Portneuf-Jacques-Cartier 10068 33657 3223 0 15525 0
24059 Québec 18132 9239 6652 1182 14824 0
24060 Repentigny 16500 5328 4484 0 30848 0
24061 Richmond-Arthabaska 8543 28513 2550 0 14150 0
24062 Rivière-des-Mille-Îles 18835 5479 3852 972 21645 0
24063 Rivière-du-Nord 12767 6803 3958 0 29943 0
24064 Rosemont-La-Petite-Patrie 12738 2199 26708 1308 11751 0
24065 Marc-Aurèle-Fortin 22992 6120 4461 0 16055 0
24066 Saint-Hyacinthe-Bagot 12030 7166 6170 0 25165 0
24067 Saint-Jean 16650 7544 4308 1262 27243 0
24068 Saint-Laurent 22056 6902 4059 0 2972 0
24069 Saint-Léonard-Saint-Michel 29010 4381 3460 0 3395 0
24070 Saint-Maurice-Champlain 23913 10139 2849 731 16940 241
24071 Salaberry-Suroît 16550 7476 4529 0 29093 0
24072 Shefford 19968 7234 3173 1059 24997 0
24073 Sherbrooke 21830 7490 8107 1670 16848 0
24074 Vaudreuil-Soulanges 30001 10556 6780 1631 14308 0
24075 Terrebonne 17475 6183 3913 847 24270 3864
24076 Trois-Rivières 16637 17053 4680 754 17136 0
24077 Ville-Marie-Le-Sud-Ouest-Île-des-Soeurs 24978 6138 9241 1343 6176 0
24078 Vimy 25316 6829 4731 0 11811 0
35001 Ajax 28279 13237 6988 1254 0 0
35002 Algoma-Manitoulin-Kapuskasing 8888 10885 15895 726 0 0
35003 Aurora-Oak-Ridges-Richmond-Hill 20764 19304 3594 0 0 0
35004 Barrie-Innisfil 15292 25234 8349 0 0 0
35005 Barrie-Springwater-Oro-Medonte 16145 23555 8910 0 0 0
35006 Bay-of-Quinte 22542 25479 9284 1350 0 0
35007 Beaches-East-York 28919 7336 11513 1388 0 166
35008 Brampton-Centre 16189 11026 5932 0 0 824
35009 Brampton-East 22120 11647 6511 0 0 0
35010 Brampton-North 23412 13289 6448 0 0 0
